区域,代码
1进车道1停车位,11
1进车道2停车位,12
1进车道3停车位,13
1进车道4停车位,14
1进车道5停车位,15
1进车道6停车位,16
1进车道7停车位,17
1进车道8停车位,18
1进车道9停车位,19
1进车道10停车位,110
2进车道1停车位,21
2进车道2停车位,22
2进车道3停车位,23
2进车道4停车位,24
2进车道5停车位,25
2进车道6停车位,26
2进车道7停车位,27
2进车道8停车位,28
2进车道9停车位,29
2进车道10停车位,210
3进车道1停车位,31
3进车道2停车位,32
3进车道3停车位,33
3进车道4停车位,34
3进车道5停车位,35
3进车道6停车位,36
3进车道7停车位,37
3进车道8停车位,38
3进车道9停车位,39
3进车道10停车位,310
4进车道1停车位,41
4进车道2停车位,42
4进车道3停车位,43
4进车道4停车位,44
4进车道5停车位,45
4进车道6停车位,46
4进车道7停车位,47
4进车道8停车位,48
4进车道9停车位,49
4进车道10停车位,410
5进车道1停车位,51
5进车道2停车位,52
5进车道3停车位,53
5进车道4停车位,54
5进车道5停车位,55
5进车道6停车位,56
5进车道7停车位,57
5进车道8停车位,58
5进车道9停车位,59
5进车道10停车位,510
6进车道1停车位,61
6进车道2停车位,62
6进车道3停车位,63
6进车道4停车位,64
6进车道5停车位,65
6进车道6停车位,66
6进车道7停车位,67
6进车道8停车位,68
6进车道9停车位,69
6进车道10停车位,610
返回道1停车位,71
返回道2停车位,72
返回道3停车位,73
返回道4停车位,74
返回道5停车位,75
返回道6停车位,76
返回道7停车位,77
返回道8停车位,78
返回道9停车位,79
返回道10停车位,710
涂装-PBS出车口,0
接车横移机,1
送车横移机,2
PBS-总装接车口,3
