start_time,action_type,vehicle_id,lane,duration
0,recv_fresh,1,4,0
0,recv_fresh,2,2,12
12,recv_fresh,3,5,12
24,recv_fresh,4,3,6
30,recv_fresh,5,1,18
48,recv_fresh,6,4,0
48,recv_fresh,7,3,6
54,recv_fresh,8,4,0
54,recv_fresh,9,6,18
72,recv_fresh,10,2,12
81,send_out,1,4,0
84,recv_fresh,11,4,0
84,recv_fresh,12,3,6
87,send_out,2,2,12
90,recv_fresh,13,5,12
99,send_out,3,5,12
102,recv_fresh,14,2,12
111,send_out,4,3,6
114,recv_fresh,15,5,12
120,send_out,5,1,18
126,recv_fresh,16,3,6
132,recv_fresh,17,1,18
138,send_out,6,4,0
138,send_out,7,3,6
144,send_out,9,6,18
150,recv_fresh,18,1,18
162,send_out,8,4,0
162,send_out,10,2,12
168,recv_fresh,19,6,18
174,send_out,12,3,6
180,send_out,11,4,0
180,send_out,13,5,12
186,recv_fresh,20,2,12
192,send_out,14,2,12
198,recv_fresh,21,4,0
198,recv_fresh,22,4,0
198,recv_fresh,23,3,6
204,recv_fresh,24,2,12
204,send_out,15,5,12
216,recv_fresh,25,5,12
216,send_out,16,3,6
222,send_out,17,1,18
228,recv_fresh,26,3,6
234,recv_fresh,27,5,12
240,send_out,18,1,18
246,recv_fresh,28,4,0
246,recv_fresh,29,1,18
258,send_out,19,6,18
264,recv_fresh,30,3,6
270,recv_fresh,31,4,0
270,recv_fresh,32,3,6
276,recv_fresh,33,6,18
276,send_out,20,2,12
288,send_out,21,4,0
288,send_out,23,3,6
294,recv_fresh,34,2,12
294,send_out,24,2,12
306,recv_fresh,35,4,0
306,send_out,22,4,0
306,recv_fresh,36,2,12
306,send_out,25,5,12
318,recv_fresh,37,5,12
318,send_out,26,3,6
324,send_out,27,5,12
330,recv_fresh,38,5,12
336,send_out,28,4,0
336,send_out,29,1,18
342,recv_fresh,39,1,18
354,send_out,30,3,6
360,recv_fresh,40,1,18
360,send_out,31,4,0
366,send_out,33,6,18
378,recv_fresh,41,6,18
384,send_out,32,3,6
390,send_out,34,2,12
396,recv_fresh,42,2,12
402,send_out,35,4,0
405,send_out,36,2,12
408,recv_fresh,43,4,0
408,recv_fresh,44,6,18
417,send_out,37,5,12
426,recv_fresh,45,3,6
432,recv_fresh,46,2,12
432,send_out,38,5,12
444,recv_fresh,47,5,12
444,send_out,39,1,18
456,recv_fresh,48,5,12
462,send_out,40,1,18
468,recv_fresh,49,1,18
480,send_out,41,6,18
486,recv_fresh,50,1,18
498,send_out,42,2,12
504,recv_fresh,51,4,0
504,recv_fresh,52,3,6
510,recv_fresh,53,2,12
510,send_out,43,4,0
510,send_out,44,6,18
522,recv_fresh,54,4,0
522,recv_fresh,55,6,18
528,send_out,45,3,6
534,send_out,46,2,12
540,recv_fresh,56,3,6
546,recv_fresh,57,4,0
546,send_out,47,5,12
546,recv_fresh,58,3,6
552,recv_fresh,59,2,12
558,send_out,49,1,18
564,recv_fresh,60,4,0
564,recv_fresh,61,5,12
576,recv_fresh,62,3,6
576,send_out,48,5,12
582,recv_fresh,63,5,12
588,send_out,50,1,18
594,recv_fresh,64,4,0
594,recv_fresh,65,1,18
606,send_out,51,4,0
606,send_out,52,3,6
612,recv_fresh,66,3,6
612,send_out,53,2,12
618,recv_fresh,67,2,12
624,send_out,55,6,18
630,recv_fresh,68,4,0
630,recv_fresh,69,1,18
642,send_out,54,4,0
642,send_out,56,3,6
648,recv_fresh,70,3,6
648,send_out,59,2,12
654,recv_fresh,71,6,18
660,send_out,57,4,0
660,send_out,61,5,12
672,recv_fresh,72,4,0
672,send_out,58,3,6
672,recv_fresh,73,2,12
678,send_out,60,4,0
678,send_out,63,5,12
684,recv_fresh,74,5,12
690,send_out,62,3,6
696,recv_fresh,75,5,12
696,send_out,65,1,18
708,recv_fresh,76,1,18
714,send_out,64,4,0
714,send_out,66,3,6
720,send_out,67,2,12
726,recv_fresh,77,2,12
732,send_out,69,1,18
738,recv_fresh,78,6,18
750,send_out,68,4,0
750,send_out,70,3,6
756,recv_fresh,79,1,18
756,send_out,71,6,18
774,recv_fresh,80,6,18
774,send_out,72,4,0
774,send_out,73,2,12
786,send_out,74,5,12
792,recv_fresh,81,2,12
798,send_out,76,1,18
804,recv_fresh,82,5,12
816,recv_fresh,83,1,18
816,send_out,75,5,12
828,send_out,77,2,12
834,recv_fresh,84,2,12
840,send_out,78,6,18
846,recv_fresh,85,5,12
858,recv_fresh,86,6,18
858,send_out,79,1,18
876,recv_fresh,87,1,18
876,send_out,80,6,18
894,recv_fresh,88,6,18
894,send_out,81,2,12
906,send_out,82,5,12
912,recv_fresh,89,2,12
918,send_out,83,1,18
924,recv_fresh,90,5,12
936,recv_fresh,91,1,18
936,send_out,84,2,12
948,send_out,85,5,12
954,recv_fresh,92,2,12
960,send_out,86,6,18
966,recv_fresh,93,5,12
978,recv_fresh,94,6,18
978,send_out,87,1,18
996,recv_fresh,95,1,18
996,send_out,88,6,18
1014,recv_fresh,96,6,18
1014,send_out,89,2,12
1026,send_out,90,5,12
1032,recv_fresh,97,2,12
1038,send_out,91,1,18
1044,recv_fresh,98,5,12
1056,recv_fresh,99,1,18
1056,send_out,92,2,12
1068,send_out,93,5,12
1074,recv_fresh,100,4,0
1074,recv_fresh,101,2,12
1080,send_out,94,6,18
1086,recv_fresh,102,3,6
1092,recv_fresh,103,4,0
1092,recv_fresh,104,3,6
1098,recv_fresh,105,5,12
1098,send_out,95,1,18
1110,recv_fresh,106,4,0
