position,id,type,power,drive,return_count
1,1,B,燃油,两驱,0
2,2,A,混动,两驱,0
3,4,A,燃油,两驱,0
4,6,A,燃油,两驱,0
5,3,A,混动,两驱,0
6,7,A,燃油,两驱,0
7,8,A,燃油,两驱,0
8,5,A,混动,两驱,0
9,11,A,燃油,两驱,0
10,12,A,燃油,两驱,0
11,9,A,混动,两驱,0
12,15,A,混动,两驱,0
13,16,B,燃油,两驱,0
14,10,A,混动,两驱,0
15,19,A,混动,两驱,0
16,21,A,燃油,两驱,0
17,22,B,燃油,四驱,0
18,13,A,混动,两驱,0
19,23,A,燃油,两驱,0
20,14,A,混动,两驱,0
21,24,A,混动,两驱,0
22,26,B,燃油,四驱,0
23,28,A,燃油,两驱,0
24,17,A,混动,两驱,0
25,30,A,燃油,两驱,0
26,31,A,燃油,四驱,0
27,18,B,混动,两驱,0
28,32,A,燃油,两驱,0
29,20,A,混动,两驱,0
30,33,A,混动,两驱,0
31,25,A,混动,两驱,0
32,35,A,燃油,四驱,0
33,27,A,混动,两驱,0
34,39,A,混动,两驱,0
35,29,A,混动,两驱,0
36,37,A,混动,两驱,0
37,40,A,混动,两驱,0
38,34,A,混动,两驱,0
39,41,A,混动,两驱,0
40,43,A,燃油,四驱,0
41,45,A,燃油,四驱,0
42,36,A,混动,两驱,0
43,44,A,混动,两驱,0
44,38,A,混动,两驱,0
45,50,A,混动,两驱,0
46,48,A,混动,两驱,0
47,51,A,燃油,两驱,0
48,52,B,燃油,两驱,0
49,42,A,混动,两驱,0
50,54,B,燃油,两驱,0
51,56,B,燃油,两驱,0
52,46,A,混动,两驱,0
53,57,A,燃油,两驱,0
54,58,B,燃油,两驱,0
55,47,A,混动,两驱,0
56,62,B,燃油,两驱,0
57,60,B,燃油,两驱,0
58,49,A,混动,两驱,0
59,64,A,燃油,四驱,0
60,53,A,混动,两驱,0
61,65,A,混动,两驱,0
62,67,A,混动,两驱,0
63,66,B,燃油,两驱,0
64,70,B,燃油,两驱,0
65,55,A,混动,两驱,0
66,68,B,燃油,两驱,0
67,71,A,混动,两驱,0
68,72,B,燃油,两驱,0
69,59,A,混动,两驱,0
70,76,A,混动,两驱,0
71,61,A,混动,两驱,0
72,75,A,混动,两驱,0
73,63,A,混动,两驱,0
74,80,A,混动,两驱,0
75,79,A,混动,两驱,0
76,69,A,混动,两驱,0
77,82,A,混动,两驱,0
78,81,A,混动,两驱,0
79,73,A,混动,两驱,0
80,83,A,混动,两驱,0
81,74,A,混动,两驱,0
82,84,A,混动,两驱,0
83,77,A,混动,两驱,0
84,87,A,混动,两驱,0
85,78,A,混动,两驱,0
86,88,A,混动,两驱,0
87,85,A,混动,两驱,0
88,92,A,混动,两驱,0
89,91,A,混动,两驱,0
90,86,A,混动,两驱,0
91,94,A,混动,两驱,0
92,93,A,混动,两驱,0
93,89,A,混动,两驱,0
94,96,A,混动,两驱,0
95,97,A,混动,两驱,0
96,100,A,燃油,四驱,0
97,90,A,混动,两驱,0
98,101,A,混动,两驱,0
99,102,A,燃油,两驱,0
100,103,A,燃油,两驱,0
101,95,A,混动,两驱,0
102,106,B,燃油,四驱,0
103,104,A,燃油,两驱,0
104,98,A,混动,两驱,0
105,108,A,燃油,两驱,0
106,107,A,燃油,两驱,0
107,99,A,混动,两驱,0
108,109,A,燃油,两驱,0
109,110,A,燃油,两驱,0
110,105,A,混动,两驱,0
111,112,A,燃油,两驱,0
112,114,A,燃油,两驱,0
113,111,A,混动,两驱,0
114,115,A,燃油,两驱,0
115,117,A,燃油,两驱,0
116,113,A,混动,两驱,0
117,120,B,燃油,两驱,0
118,119,B,燃油,两驱,0
119,116,A,混动,两驱,0
120,123,A,燃油,两驱,0
121,127,B,燃油,两驱,0
122,118,A,混动,两驱,0
123,128,A,燃油,两驱,0
124,130,A,燃油,两驱,0
125,121,A,混动,两驱,0
126,131,B,燃油,两驱,0
127,133,B,燃油,两驱,0
128,122,A,混动,两驱,0
129,134,A,燃油,四驱,0
130,135,B,燃油,两驱,0
131,124,A,混动,两驱,0
132,125,A,混动,两驱,0
133,138,A,燃油,两驱,0
134,126,A,燃油,两驱,0
135,129,A,混动,两驱,0
136,139,B,燃油,两驱,0
137,137,B,燃油,两驱,0
138,132,A,混动,两驱,0
139,140,A,燃油,两驱,0
140,141,B,燃油,两驱,0
141,136,A,混动,两驱,0
142,143,B,燃油,两驱,0
143,142,A,燃油,四驱,0
144,144,A,混动,两驱,0
145,148,A,混动,两驱,0
146,149,B,燃油,两驱,0
147,150,B,燃油,两驱,0
148,145,A,混动,两驱,0
149,146,A,混动,两驱,0
150,147,A,混动,两驱,0
151,153,A,混动,两驱,0
152,151,A,混动,两驱,0
153,156,A,混动,两驱,0
154,160,A,燃油,两驱,0
155,152,A,混动,两驱,0
156,159,A,混动,两驱,0
157,154,A,混动,两驱,0
158,162,A,混动,两驱,0
159,161,A,混动,两驱,0
160,155,A,混动,两驱,0
161,164,A,混动,两驱,0
162,165,A,混动,两驱,0
163,166,A,燃油,两驱,0
164,157,A,混动,两驱,0
165,169,A,混动,两驱,0
166,170,A,混动,两驱,0
167,158,A,混动,两驱,0
168,171,A,混动,两驱,0
169,172,A,燃油,两驱,0
170,163,A,混动,两驱,0
171,175,A,混动,两驱,0
172,178,B,燃油,两驱,0
173,167,A,混动,两驱,0
174,177,A,混动,两驱,0
175,168,A,混动,两驱,0
176,180,A,混动,两驱,0
