start_time,action_type,vehicle_id,lane,duration
0,recv_fresh,1,4,0
0,recv_fresh,2,3,6
6,recv_fresh,3,3,6
12,recv_fresh,4,2,12
24,recv_fresh,5,5,12
36,recv_fresh,6,1,18
54,recv_fresh,7,6,18
72,recv_fresh,8,4,0
72,recv_fresh,9,3,6
78,recv_fresh,10,3,6
81,send_out,1,4,0
84,recv_fresh,11,4,0
84,send_out,2,3,6
84,recv_fresh,12,2,12
96,recv_fresh,13,3,6
96,send_out,3,3,6
102,recv_fresh,14,3,6
102,send_out,4,2,12
108,recv_fresh,15,3,6
114,recv_fresh,16,2,12
114,send_out,5,5,12
126,recv_fresh,17,3,6
126,send_out,6,1,18
132,recv_fresh,18,3,6
138,recv_fresh,19,3,6
144,recv_fresh,20,5,12
144,send_out,7,6,18
156,recv_fresh,21,1,18
162,send_out,9,3,6
168,send_out,8,4,0
171,send_out,12,2,12
174,recv_fresh,22,6,18
183,send_out,10,3,6
189,send_out,11,4,0
192,recv_fresh,23,4,0
192,recv_fresh,24,3,6
195,send_out,13,3,6
198,recv_fresh,25,4,0
198,recv_fresh,26,2,12
201,send_out,16,2,12
210,recv_fresh,27,2,12
213,send_out,14,3,6
222,recv_fresh,28,5,12
225,send_out,15,3,6
231,send_out,20,5,12
234,recv_fresh,29,3,6
240,recv_fresh,30,5,12
243,send_out,17,3,6
249,send_out,21,1,18
252,recv_fresh,31,1,18
267,send_out,22,6,18
270,recv_fresh,32,1,18
285,send_out,18,3,6
288,recv_fresh,33,3,6
291,send_out,26,2,12
294,recv_fresh,34,3,6
300,recv_fresh,35,6,18
303,send_out,23,4,0
303,send_out,19,3,6
309,send_out,27,2,12
318,recv_fresh,36,3,6
321,send_out,25,4,0
321,send_out,24,3,6
324,recv_fresh,37,4,0
324,recv_fresh,38,3,6
327,send_out,28,5,12
330,recv_fresh,39,3,6
336,recv_fresh,40,2,12
339,send_out,29,3,6
345,send_out,30,5,12
348,recv_fresh,41,3,6
354,recv_fresh,42,3,6
357,send_out,31,1,18
360,recv_fresh,43,5,12
372,recv_fresh,44,3,6
375,send_out,33,3,6
378,recv_fresh,45,4,0
378,recv_fresh,46,3,6
381,send_out,32,1,18
384,recv_fresh,47,3,6
390,recv_fresh,48,1,18
399,send_out,35,6,18
408,recv_fresh,49,3,6
414,recv_fresh,50,6,18
417,send_out,34,3,6
423,send_out,37,4,0
423,send_out,40,2,12
432,recv_fresh,51,2,12
435,send_out,36,3,6
444,recv_fresh,52,4,0
444,recv_fresh,53,3,6
447,send_out,43,5,12
450,recv_fresh,54,2,12
459,send_out,45,4,0
459,send_out,38,3,6
462,recv_fresh,55,3,6
468,recv_fresh,56,5,12
471,send_out,39,3,6
480,recv_fresh,57,4,0
480,send_out,48,1,18
480,recv_fresh,58,5,12
492,recv_fresh,59,1,18
498,send_out,41,3,6
504,send_out,50,6,18
510,recv_fresh,60,1,18
522,send_out,51,2,12
528,recv_fresh,61,3,6
534,recv_fresh,62,6,18
534,send_out,42,3,6
540,send_out,52,4,0
540,send_out,54,2,12
552,recv_fresh,63,2,12
552,send_out,44,3,6
558,send_out,56,5,12
564,recv_fresh,64,4,0
564,recv_fresh,65,3,6
570,recv_fresh,66,2,12
570,send_out,57,4,0
570,send_out,46,3,6
576,send_out,58,5,12
582,recv_fresh,67,5,12
588,send_out,59,1,18
594,recv_fresh,68,4,0
594,recv_fresh,69,3,6
600,recv_fresh,70,5,12
606,send_out,47,3,6
612,recv_fresh,71,3,6
612,send_out,60,1,18
618,recv_fresh,72,1,18
630,send_out,62,6,18
636,recv_fresh,73,1,18
648,send_out,49,3,6
654,recv_fresh,74,6,18
654,send_out,64,4,0
654,send_out,63,2,12
666,send_out,53,3,6
672,recv_fresh,75,4,0
672,send_out,66,2,12
672,recv_fresh,76,3,6
678,recv_fresh,77,3,6
684,recv_fresh,78,3,6
684,send_out,68,4,0
684,send_out,55,3,6
690,recv_fresh,79,2,12
690,send_out,67,5,12
702,recv_fresh,80,3,6
702,send_out,61,3,6
708,recv_fresh,81,3,6
708,send_out,70,5,12
714,recv_fresh,82,5,12
720,send_out,72,1,18
726,recv_fresh,83,3,6
732,recv_fresh,84,3,6
738,recv_fresh,85,4,0
738,send_out,65,3,6
738,recv_fresh,86,2,12
744,send_out,73,1,18
750,recv_fresh,87,3,6
756,recv_fresh,88,1,18
762,send_out,75,4,0
762,send_out,69,3,6
768,send_out,74,6,18
774,recv_fresh,89,4,0
774,recv_fresh,90,3,6
780,recv_fresh,91,6,18
786,send_out,79,2,12
798,recv_fresh,92,2,12
798,send_out,71,3,6
804,send_out,82,5,12
810,recv_fresh,93,5,12
816,send_out,76,3,6
822,recv_fresh,94,3,6
822,send_out,85,4,0
825,send_out,86,2,12
828,recv_fresh,95,3,6
834,recv_fresh,96,4,0
834,recv_fresh,97,2,12
837,send_out,77,3,6
846,recv_fresh,98,3,6
846,send_out,88,1,18
852,recv_fresh,99,5,12
864,recv_fresh,100,1,18
864,send_out,89,4,0
864,send_out,78,3,6
870,send_out,91,6,18
882,recv_fresh,101,3,6
888,recv_fresh,102,6,18
888,send_out,80,3,6
894,send_out,92,2,12
906,recv_fresh,103,4,0
906,send_out,93,5,12
906,recv_fresh,104,2,12
918,recv_fresh,105,3,6
918,send_out,96,4,0
918,send_out,81,3,6
924,recv_fresh,106,4,0
924,send_out,97,2,12
924,recv_fresh,107,5,12
936,recv_fresh,108,2,12
936,send_out,83,3,6
942,send_out,99,5,12
948,recv_fresh,109,5,12
954,send_out,100,1,18
960,recv_fresh,110,1,18
972,send_out,84,3,6
978,recv_fresh,111,3,6
978,send_out,102,6,18
984,recv_fresh,112,1,18
996,send_out,103,4,0
996,send_out,87,3,6
1002,recv_fresh,113,3,6
1002,send_out,104,2,12
1008,recv_fresh,114,6,18
1014,send_out,106,4,0
1014,send_out,90,3,6
1020,send_out,107,5,12
1026,recv_fresh,115,4,0
1026,recv_fresh,116,4,0
1026,recv_fresh,117,2,12
1032,send_out,108,2,12
1038,recv_fresh,118,3,6
1044,recv_fresh,119,2,12
1044,send_out,94,3,6
1050,send_out,109,5,12
1056,recv_fresh,120,5,12
1062,send_out,110,1,18
1068,recv_fresh,121,3,6
1074,recv_fresh,122,3,6
1080,recv_fresh,123,5,12
1080,send_out,95,3,6
1086,send_out,112,1,18
1092,recv_fresh,124,1,18
1104,send_out,114,6,18
1110,recv_fresh,125,3,6
1116,recv_fresh,126,6,18
1122,send_out,98,3,6
1128,send_out,115,4,0
1128,send_out,117,2,12
1134,recv_fresh,127,4,0
1134,recv_fresh,128,2,12
1140,send_out,101,3,6
1146,recv_fresh,129,1,18
1146,send_out,116,4,0
1146,send_out,119,2,12
1158,send_out,105,3,6
1164,recv_fresh,130,4,0
1164,send_out,120,5,12
1164,recv_fresh,131,2,12
1176,recv_fresh,132,3,6
1176,send_out,111,3,6
1182,recv_fresh,133,5,12
1182,send_out,123,5,12
1194,recv_fresh,134,5,12
1194,send_out,124,1,18
1206,recv_fresh,135,1,18
1212,send_out,113,3,6
1218,send_out,127,4,0
1218,send_out,126,6,18
1224,recv_fresh,136,3,6
1230,recv_fresh,137,6,18
1236,send_out,118,3,6
1242,send_out,128,2,12
1248,recv_fresh,138,4,0
1248,recv_fresh,139,2,12
1254,send_out,130,4,0
1254,send_out,121,3,6
1260,recv_fresh,140,4,0
1260,send_out,131,2,12
1260,recv_fresh,141,6,18
1272,send_out,133,5,12
1278,recv_fresh,142,2,12
1284,send_out,122,3,6
1290,recv_fresh,143,5,12
1290,send_out,134,5,12
1302,recv_fresh,144,3,6
1302,send_out,129,1,18
1308,recv_fresh,145,3,6
1314,recv_fresh,146,3,6
1320,recv_fresh,147,5,12
1320,send_out,125,3,6
1326,send_out,135,1,18
1332,recv_fresh,148,3,6
1338,recv_fresh,149,1,18
1344,send_out,138,4,0
1344,send_out,132,3,6
1350,send_out,139,2,12
1356,recv_fresh,150,4,0
1356,recv_fresh,151,3,6
1362,recv_fresh,152,3,6
1362,send_out,140,4,0
1362,send_out,136,3,6
1368,recv_fresh,153,3,6
1368,send_out,142,2,12
1374,recv_fresh,154,2,12
1380,send_out,143,5,12
1386,recv_fresh,155,3,6
1392,recv_fresh,156,4,0
1392,send_out,144,3,6
1392,recv_fresh,157,3,6
1398,recv_fresh,158,3,6
1398,send_out,137,6,18
1404,recv_fresh,159,2,12
1416,recv_fresh,160,5,12
1416,send_out,141,6,18
1428,recv_fresh,161,3,6
1434,recv_fresh,162,6,18
1434,send_out,145,3,6
1440,send_out,150,4,0
1440,send_out,149,1,18
1452,recv_fresh,163,3,6
1458,recv_fresh,164,1,18
1458,send_out,146,3,6
1464,send_out,154,2,12
1476,recv_fresh,165,3,6
1476,send_out,156,4,0
1476,send_out,148,3,6
1482,recv_fresh,166,4,0
1482,send_out,147,5,12
1482,recv_fresh,167,3,6
1488,recv_fresh,168,4,0
1488,recv_fresh,169,2,12
1494,send_out,151,3,6
1500,recv_fresh,170,3,6
1500,send_out,159,2,12
1506,recv_fresh,171,2,12
1512,send_out,160,5,12
1518,recv_fresh,172,5,12
1524,send_out,152,3,6
1530,recv_fresh,173,3,6
1530,send_out,162,6,18
1536,recv_fresh,174,5,12
1548,recv_fresh,175,6,18
1548,send_out,164,1,18
1566,recv_fresh,176,1,18
1566,send_out,166,4,0
1566,send_out,153,3,6
